Nr czesci;Oddzial;Adres dostawy;Rok;sty;lut;mar;kwi;maj;cze;lip;sie;wrz;paz;lis;gru;Suma
1;OZG w Białymstoku;15-182 Białystok, ul. Sosabowskiego 24;2026;;;;;;;;500;500;500;500;500;2500
1;OZG w Białymstoku;15-182 Białystok, ul. Sosabowskiego 24;2027;500;500;500;500;;500;;500;500;500;500;500;5000
1;OZG w Białymstoku;15-182 Białystok, ul. Sosabowskiego 24;2028;500;500;500;500;;500;;;;;;;2500
2;OZG w Bydgoszczy;85-097 Bydgoszcz, ul. Jagiellońska 42;2026;;;;;;;;1035;1035;;1035;2070;5175
2;OZG w Bydgoszczy;85-097 Bydgoszcz, ul. Jagiellońska 42;2027;3105;1035;1035;1035;1035;1035;;1035;1035;;1035;2070;13455
2;OZG w Bydgoszczy;85-097 Bydgoszcz, ul. Jagiellońska 42;2028;3105;1035;1035;1035;1035;1035;;;;;;;8280
3;OZG w Gdańsku;80-858 Gdańsk, ul. Wałowa 41/43;2026;;;;;;;1125;;1125;1125;3375;2250;9000
3;OZG w Gdańsku;80-858 Gdańsk, ul. Wałowa 41/43;2027;3375;2250;2250;1125;1125;1125;;1125;1125;1125;3375;2250;20250
3;OZG w Gdańsku;80-858 Gdańsk, ul. Wałowa 41/43;2028;3375;2250;2250;1125;1125;1125;;;;;;;11250
4;OZG w Gorzowie Wielkopolskim;66-100 Sulechów, Aleja Wielkopolska 13;2026;;;;;;;;;1000;1000;2000;;4000
4;OZG w Gorzowie Wielkopolskim;66-100 Sulechów, Aleja Wielkopolska 13;2027;;;1000;;1000;1000;;;1000;1000;2000;;7000
4;OZG w Gorzowie Wielkopolskim;66-100 Sulechów, Aleja Wielkopolska 13;2028;;;1000;;1000;1000;;;;;;;3000
5;OZG w Jaśle;36-002 Jasionka Tajęcina;2026;;;;;;;;;1125;1125;;1125;3375
5;OZG w Jaśle;36-002 Jasionka Tajęcina;2027;1125;900;1125;;900;1125;;;1125;1125;;1125;8550
5;OZG w Jaśle;36-002 Jasionka Tajęcina;2028;1125;900;1125;;900;1125;;;;;;;5175
5;OZG w Jaśle;38-200 Jasło, ul. Floriańska 112;2026;;;;;;;;;900;900;900;1800;4500
5;OZG w Jaśle;38-200 Jasło, ul. Floriańska 112;2027;900;900;900;;900;900;;;900;900;900;1800;9000
5;OZG w Jaśle;38-200 Jasło, ul. Floriańska 112;2028;900;900;900;;900;900;;;;;;;4500
6;OZG w Kielcach;25-346 Kielce, ul. Zagórska;2026;;;;;;;;450;450;;450;450;1800
6;OZG w Kielcach;25-346 Kielce, ul. Zagórska;2027;450;450;450;450;450;450;;450;450;;450;450;4500
6;OZG w Kielcach;25-346 Kielce, ul. Zagórska;2028;450;450;450;450;450;450;;;;;;;2700
6;OZG w Kielcach;27-230 Lubienia;2026;;;;;;;;180;180;;180;180;720
6;OZG w Kielcach;27-230 Lubienia;2027;;180;180;;180;180;;180;180;;180;180;1440
6;OZG w Kielcach;27-230 Lubienia;2028;;180;180;;180;180;;;;;;;720
6;OZG w Kielcach;27-600 Sandomierz, ul. Polskiej Organizacji Wojskowej;2026;;;;;;;;;630;;;630;1260
6;OZG w Kielcach;27-600 Sandomierz, ul. Polskiej Organizacji Wojskowej;2027;;;630;;;630;;;630;;;630;2520
6;OZG w Kielcach;27-600 Sandomierz, ul. Polskiej Organizacji Wojskowej;2028;;;630;;;630;;;;;;;1260
7;OZG w Koszalinie;75-808 Koszalin, ul. Połczyńska 55/57;2026;;;;;;;;1000;;1000;;1000;3000
7;OZG w Koszalinie;75-808 Koszalin, ul. Połczyńska 55/57;2027;1000;;1000;;;1000;;1000;;1000;;1000;6000
7;OZG w Koszalinie;75-808 Koszalin, ul. Połczyńska 55/57;2028;1000;1000;;1000;;500;;;;;;;3500
8;OZG w Krakowie;30-390 Kraków, ul. Zawiła 55 c;2026;;;;;;;500;1000;1500;500;2000;1500;7000
8;OZG w Krakowie;30-390 Kraków, ul. Zawiła 55 c;2027;2000;1000;1000;1000;1000;1000;500;1000;1500;500;2000;1500;14000
8;OZG w Krakowie;30-390 Kraków, ul. Zawiła 55 c;2028;2000;1000;1000;1000;1000;1000;;;;;;;7000
8;OZG w Krakowie;32-600 Oświęcim, ul. Chemików 33;2026;;;;;;;500;1000;1000;500;1000;1000;5000
8;OZG w Krakowie;32-600 Oświęcim, ul. Chemików 33;2027;1000;1000;1000;1000;;1000;500;1000;1000;500;1000;1000;10000
8;OZG w Krakowie;32-600 Oświęcim, ul. Chemików 33;2028;1000;1000;1000;1000;;1000;;;;;;;5000
8;OZG w Krakowie;33-100 Tarnów, ul. Czysta;2026;;;;;;;;500;500;500;500;500;2500
8;OZG w Krakowie;33-100 Tarnów, ul. Czysta;2027;500;500;500;500;500;500;;500;500;500;500;500;5500
8;OZG w Krakowie;33-100 Tarnów, ul. Czysta;2028;500;500;1000;500;500;;;;;;;;3000
9;OZG w Lublinie;21-040 Świdnik, ul. Tysiąclecia 8;2026;;;;;;;500;;500;1500;500;600;3600
9;OZG w Lublinie;21-040 Świdnik, ul. Tysiąclecia 8;2027;650;1500;600;500;500;750;600;;600;1500;600;700;8500
9;OZG w Lublinie;21-040 Świdnik, ul. Tysiąclecia 8;2028;700;1500;600;700;500;700;;;;;;;4700
9;OZG w Lublinie;24-200 Bełżyce, ul. Przemysłowa 38;2026;;;;;;;;;400;400;500;400;1700
9;OZG w Lublinie;24-200 Bełżyce, ul. Przemysłowa 38;2027;350;500;400;400;300;150;;;400;400;400;300;3600
9;OZG w Lublinie;24-200 Bełżyce, ul. Przemysłowa 38;2028;400;500;400;300;200;200;;;;;;;2000
10;OZG w Łodzi;97-300 Piotrków Trybunalski, ul. Krakowskie Przedmieście 112;2026;;;;;;;765;765;765;1980;1980;2475;8730
10;OZG w Łodzi;97-300 Piotrków Trybunalski, ul. Krakowskie Przedmieście 112;2027;1980;1980;1485;765;765;765;765;765;765;1980;1980;2475;16470
10;OZG w Łodzi;97-300 Piotrków Trybunalski, ul. Krakowskie Przedmieście 112;2028;1980;1980;1485;765;765;765;;;;;;;7740
11;OZG w Olsztynie;10-409 Olsztyn, ul. Lubelska 42A;2026;;;;;;;675;675;1350;675;1350;2025;6750
11;OZG w Olsztynie;10-409 Olsztyn, ul. Lubelska 42A;2027;1500;1350;675;675;675;675;675;675;1350;675;1350;2025;12300
11;OZG w Olsztynie;10-409 Olsztyn, ul. Lubelska 42A;2028;1500;1350;675;675;675;675;;;;;;;5550
12;OZG w Opolu;47-100 Strzelce Opolskie, ul. Mickiewicza 4;2026;;;;;;;500;500;500;500;1000;1000;4000
12;OZG w Opolu;47-100 Strzelce Opolskie, ul. Mickiewicza 4;2027;1500;1000;1000;500;500;500;500;500;500;500;1000;1000;9000
12;OZG w Opolu;47-100 Strzelce Opolskie, ul. Mickiewicza 4;2028;1500;1000;1000;500;500;500;;;;;;;5000
13;OZG w Poznaniu;60-004 Poznań, ul. Głogowska 429;2026;;;;;;;1700;1700;1700;1700;2150;2150;11100
13;OZG w Poznaniu;60-004 Poznań, ul. Głogowska 429;2027;2600;2600;2500;1350;1350;1300;1700;1700;1700;1700;2150;2150;22800
13;OZG w Poznaniu;60-004 Poznań, ul. Głogowska 429;2028;2600;2600;2500;1350;1350;1300;;;;;;;11700
13;OZG w Poznaniu;62-800 Kalisz, ul. Majkowska 9;2026;;;;;;;600;600;600;600;600;600;3600
13;OZG w Poznaniu;62-800 Kalisz, ul. Majkowska 9;2027;600;600;600;600;600;600;600;600;600;600;600;600;7200
13;OZG w Poznaniu;62-800 Kalisz, ul. Majkowska 9;2028;600;600;600;600;600;600;;;;;;;3600
14;OZG w Szczecinie;70-952 Szczecin, ul. Tama Pomorzańska 26;2026;;;;;;;;1000;;1000;;1000;3000
14;OZG w Szczecinie;70-952 Szczecin, ul. Tama Pomorzańska 26;2027;1000;;1000;1000;;600;;1000;;1000;500;1000;7100
14;OZG w Szczecinie;70-952 Szczecin, ul. Tama Pomorzańska 26;2028;1000;;1000;1000;;600;;;;;;;3600
15;OZG w Warszawie;05-090 Sękocin Nowy, 05-850 Mory, 05-091 Ząbki;2026;;;;;;;1200;;2400;1200;3600;6000;14400
